part_number,name,description,price,brand,category,image_url,product_url,compatibility_models,installation_guide,specifications,in_stock
PS17216213,HARNS-WIRE W11676780,"This part works with the following products:
                Refrigerator, Dryer.",48.26,Whirlpool,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/17216213-1-M-Whirlpool-W11676780-HARNS-WIRE.jpg,https://www.partselect.com/PS17216213-Whirlpool-W11676780-HARNS-WIRE.htm?SourceCode=18,,Please refer to the product manual or visit https://www.partselect.com/PS17216213-Whirlpool-W11676780-HARNS-WIRE.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS17216213"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS17216213-Whirlpool-W11676780-HARNS-WIRE.htm?SourceCode=18""}",True
PS16543783,DELI PAN 5304526932,"This part works with the following products:
                Refrigerator.",117.44,Frigidaire,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/Schematics/Frigidaire/9E0E8BC3D3EE163B953A5D45920864AB3F145321.gif,https://www.partselect.com/PS16543783-Frigidaire-5304526932-DELI-PAN.htm?SourceCode=18,,Please refer to the product manual or visit https://www.partselect.com/PS16543783-Frigidaire-5304526932-DELI-PAN.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS16543783"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS16543783-Frigidaire-5304526932-DELI-PAN.htm?SourceCode=18""}",True
PS3487856,Refrigerator Recess WR17X12884,"Refrigerator Recess Specifications
                Upgrade your refrigerator with the GE Dispenser Drip Tray. This vital accessory catches the water that casually drips from the dispenser during use, ensuring your fridge stays clean and dry. To install, simply pull the existing tray from the dispenser housing and slide the new drip tray into place -- no fuss, no hassle. Remember, gloves are recommended to protect your hands during this quick process. This grill recess design provides a seamless and integrated look to your refrigerator. Invest in GE quality and make refrigerator maintenance easy and efficient.",22.95,GE,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/3487856-1-M-GE-WR17X12884-Refrigerator-Recess.jpg,https://www.partselect.com/PS3487856-GE-WR17X12884-Refrigerator-Recess.htm?SourceCode=18,,Please refer to the product manual or visit https://www.partselect.com/PS3487856-GE-WR17X12884-Refrigerator-Recess.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS3487856"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS3487856-GE-WR17X12884-Refrigerator-Recess.htm?SourceCode=18""}",True
PS11756973,Drip Pan WPW10655367,"Drip Pan Specifications
                Boost the longevity of your refrigerator with this genuine Whirlpool drain pan. Designed to fit selected models of Whirlpool, KitchenAid, Maytag, Jenn-Air, Amana, Inglis, and Magic Chef refrigerators, this part ensures a neat and clean interior. The drain pan sits at the bottom of the cabinet, hidden behind the toe grille, and collects water that trickles out through the drain line during the defrost cycle. Please refer to your owner's manual for guidance during installation. Carefully verify compatibility with your model before purchasing, since parts may have subtle differences in size and shape. This drain pan will enhance your refrigerator's performance and is a quality investment for your kitchen.",70.97,Whirlpool,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11756973-1-M-Whirlpool-WPW10655367-Drip-Pan.jpg,https://www.partselect.com/PS11756973-Whirlpool-WPW10655367-Drip-Pan.htm?SourceCode=18,AP6023628;WPW10655367,Please refer to the product manual or visit https://www.partselect.com/PS11756973-Whirlpool-WPW10655367-Drip-Pan.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS11756973"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS11756973-Whirlpool-WPW10655367-Drip-Pan.htm?SourceCode=18""}",True
PS9504289,"R-CARBON;470OHM,5%,1/4W, 2001-000062","This part works with the following products:
                Refrigerator.",6.95,Samsung,refrigerator,,https://www.partselect.com/PS9504289-Samsung-2001-000062-R-CARBON-470OHM-5-1-4W.htm?SourceCode=18,,Please refer to the product manual or visit https://www.partselect.com/PS9504289-Samsung-2001-000062-R-CARBON-470OHM-5-1-4W.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS9504289"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS9504289-Samsung-2001-000062-R-CARBON-470OHM-5-1-4W.htm?SourceCode=18""}",True
PS17629720,GEAR 140025649033,"This part works with the following products:
                Refrigerator.",8.95,Frigidaire,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/Schematics/Frigidaire/2E92B09F948E7B5A7AF4A8CD055B4C7AE6F37732.gif,https://www.partselect.com/PS17629720-Frigidaire-140025649033-GEAR.htm?SourceCode=18,,Please refer to the product manual or visit https://www.partselect.com/PS17629720-Frigidaire-140025649033-GEAR.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS17629720"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS17629720-Frigidaire-140025649033-GEAR.htm?SourceCode=18""}",True
PS11739126,Rear Compressor Cover WP2188755,"Rear Compressor Cover Specifications
                Used to cover up the compressor components.",77.11,Whirlpool,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11739126-1-M-Whirlpool-WP2188755-Rear-Compressor-Cover.jpg,https://www.partselect.com/PS11739126-Whirlpool-WP2188755-Rear-Compressor-Cover.htm?SourceCode=18,AP6006062;WP2188755,Please refer to the product manual or visit https://www.partselect.com/PS11739126-Whirlpool-WP2188755-Rear-Compressor-Cover.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS11739126"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS11739126-Whirlpool-WP2188755-Rear-Compressor-Cover.htm?SourceCode=18""}",True
PS11753490,Capacitor WPW10350564,"Capacitor Specifications
                The compressor run capacitor helps keep the motor running smoothly in refrigerators. It works with various models and is a genuine replacement part. Always unplug the refrigerator before installing the capacitor, and check the part number for compatibility with your model.",57.11,Whirlpool,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11753490-1-M-Whirlpool-WPW10350564-Capacitor.jpg,https://www.partselect.com/PS11753490-Whirlpool-WPW10350564-Capacitor.htm?SourceCode=18,AP6020176;WPW10350564,Please refer to the product manual or visit https://www.partselect.com/PS11753490-Whirlpool-WPW10350564-Capacitor.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS11753490"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS11753490-Whirlpool-WPW10350564-Capacitor.htm?SourceCode=18""}",True
PS11739232,Refrigerator Thermostat Assembly WP2198202,"Refrigerator Thermostat Assembly Specifications
                This thermostat assembly is used in refrigerator units and freezers as a sensor. The thermostat senses the temperature increase in the evaporator during the cycle of defrosting and turns off when ice is melted. If you have any of the following symptoms, replacing your thermostat could solve the problem: fridge does not start, is too warm, too cold, runs too long, or will not start. The tools needed for this repair project is a putty knife, Phillips and flat blade screw driver, 1/4 inch nut driver, and needle nose pliers. Remember to unplug refrigerator from power source as a safety precaution. Refer to the manual provided by the manufacturer for further installation instructions.",62.67,Whirlpool,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11739232-1-M-Whirlpool-WP2198202-Refrigerator-Thermostat-Assembly.jpg,https://www.partselect.com/PS11739232-Whirlpool-WP2198202-Refrigerator-Thermostat-Assembly.htm?SourceCode=18,WP2198202;AP6006166,Please refer to the product manual or visit https://www.partselect.com/PS11739232-Whirlpool-WP2198202-Refrigerator-Thermostat-Assembly.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS11739232"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS11739232-Whirlpool-WP2198202-Refrigerator-Thermostat-Assembly.htm?SourceCode=18""}",True
PS12364199,Refrigerator Door Shelf Bin 242126602,"Refrigerator Door Shelf Bin Specifications
                This manufacturer-certified Refrigerator Door Shelf Bin, also known as a crisper bin or door shelf bin, is made of clear plastic, and is easy to install. It is used to hold items in the fridge, like jars, cans, and condiments and you'll be able to visually see if the part is broken or cracked. This particular shelf attaches to the fridge door. You can check if this model is right for your appliance by checking your user manual and model number. This part should simply snap into place without the need for any tools as part of the repair. Just carefully line up the slots on the door with the slots on the bin and slide the bin down to completely lock it into place. The part is sold individually, and fits many different types of side-by-side refrigerators.",47.95,Frigidaire,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/12364199-1-M-Frigidaire-242126602-Refrigerator-Door-Shelf-Bin.jpg,https://www.partselect.com/PS12364199-Frigidaire-242126602-Refrigerator-Door-Shelf-Bin.htm?SourceCode=18,AP6278233,Please refer to the product manual or visit https://www.partselect.com/PS12364199-Frigidaire-242126602-Refrigerator-Door-Shelf-Bin.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS12364199"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS12364199-Frigidaire-242126602-Refrigerator-Door-Shelf-Bin.htm?SourceCode=18""}",True
PS11732736,Power Cord 3903-001003,"Power Cord Specifications
                This is a power cord made for Samsung refrigerators. If your current power cord is damaged, broken, or no longer supplying power to your fridge, you can disconnect it from the wall outlet, strip it from your fridge, and replace it with this OEM cord. This power cord is sold individually and does not include any other parts or accessories.",69.95,Samsung,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11732736-1-M-Samsung-3903-001003-Power-Cord.jpg,https://www.partselect.com/PS11732736-Samsung-3903-001003-Power-Cord.htm?SourceCode=18,,Please refer to the product manual or visit https://www.partselect.com/PS11732736-Samsung-3903-001003-Power-Cord.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS11732736"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS11732736-Samsung-3903-001003-Power-Cord.htm?SourceCode=18""}",True
PS12744172,Snack Pan Shelf WR72X31124,"Snack Pan Shelf Specifications
                This is a manufacturer-made rail for the snack pan in various models of refrigerators. This rail is designed to allow users to easily pull their snack pan in and out of the refrigerator. If this rail is damaged, the pan will no longer slide smoothly and may even fall, so it needs to be replaced promptly. This rail is approximately 16.5 inches long and 12 inches wide and is made entirely of plastic. Replacing this rail requires no tools, as it simply slides into place in your fridge. This rail is sold individually and does not include any other parts or accessories.",45.95,GE,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/12744172-1-M-GE-WR72X31124-Snack-Pan-Shelf.jpg,https://www.partselect.com/PS12744172-GE-WR72X31124-Snack-Pan-Shelf.htm?SourceCode=18,,Please refer to the product manual or visit https://www.partselect.com/PS12744172-GE-WR72X31124-Snack-Pan-Shelf.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS12744172"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS12744172-GE-WR72X31124-Snack-Pan-Shelf.htm?SourceCode=18""}",True
PS8727619,FOOT 00612791,"This part works with the following products:
                Freezer, Refrigerator.",12.57,Bosch,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/8727619-1-M-Bosch-00612791-FOOT.jpg,https://www.partselect.com/PS8727619-Bosch-00612791-FOOT.htm?SourceCode=18,AP4428775,Please refer to the product manual or visit https://www.partselect.com/PS8727619-Bosch-00612791-FOOT.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS8727619"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS8727619-Bosch-00612791-FOOT.htm?SourceCode=18""}",True
PS11757236,Clear Gallon Door Bin WPW10710203,"Clear Gallon Door Bin Specifications
                Sold individually. This door bin is for refrigerators.

The door bin attaches to the inside of the refrigerator door and typically holds jars and bottles.",33.95,Whirlpool,refrigerator,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11757236-1-M-Whirlpool-WPW10710203-Clear-Gallon-Door-Bin.jpg,https://www.partselect.com/PS11757236-Whirlpool-WPW10710203-Clear-Gallon-Door-Bin.htm?SourceCode=18,WPW10710203;AP6023888,Please refer to the product manual or visit https://www.partselect.com/PS11757236-Whirlpool-WPW10710203-Clear-Gallon-Door-Bin.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS11757236"", ""category"": ""refrigerator"", ""url"": ""https://www.partselect.com/PS11757236-Whirlpool-WPW10710203-Clear-Gallon-Door-Bin.htm?SourceCode=18""}",True
