part_number,name,description,price,brand,category,image_url,product_url,compatibility_models,installation_guide,specifications,in_stock
PS8723143,Dishwasher Door Seal 00494772,"Dishwasher Door Seal Specifications
                This seal is also referred to as a door gasket, and it is designed for use on dishwashers. It is installed on the door of the appliance, and it seals the space between the tub of the dishwasher and the door. This seal works for prevent water from escaping during the wash cycle. Over time the seal might wear out, or it might get damaged, when that happens you will start to notice leaks. If water is leaking from the door of your dishwasher during operation it may be time for you to replace the door gasket on your appliance. This door seal is made of rubber, and it is black in color.",30.98,Bosch,dishwasher,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/8723143-1-M-Bosch-00494772-Dishwasher-Door-Seal.jpg,https://www.partselect.com/PS8723143-Bosch-00494772-Dishwasher-Door-Seal.htm?SourceCode=18,AP3768902,Please refer to the product manual or visit https://www.partselect.com/PS8723143-Bosch-00494772-Dishwasher-Door-Seal.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS8723143"", ""category"": ""dishwasher"", ""url"": ""https://www.partselect.com/PS8723143-Bosch-00494772-Dishwasher-Door-Seal.htm?SourceCode=18""}",True
PS12070543,SENSOR W11084121,"This part fixes the following symptoms:
                Not cleaning dishes properly",51.4,Whirlpool,dishwasher,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/12070543-1-M-Whirlpool-W11084121-SENSOR.jpg,https://www.partselect.com/PS12070543-Whirlpool-W11084121-SENSOR.htm?SourceCode=18,AP6048025,Please refer to the product manual or visit https://www.partselect.com/PS12070543-Whirlpool-W11084121-SENSOR.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS12070543"", ""category"": ""dishwasher"", ""url"": ""https://www.partselect.com/PS12070543-Whirlpool-W11084121-SENSOR.htm?SourceCode=18""}",True
PS11741930,Dryer Idler Assembly WP37001287,"Dryer Idler Assembly Specifications
                The spring for this part is sold separately.

This idler assembly is for dryers.

Idler assembly includes the idler arm and the idler pulley that maintains tension on the drive belt, allowing the belt to turn.

Disconnect the power before installing this part. Wear work gloves to protect your hands.",33.95,Whirlpool,dishwasher,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11741930-1-M-Whirlpool-WP37001287-Dryer-Idler-Assembly.jpg,https://www.partselect.com/PS11741930-Whirlpool-WP37001287-Dryer-Idler-Assembly.htm?SourceCode=18,AP6008789;WP37001287,Please refer to the product manual or visit https://www.partselect.com/PS11741930-Whirlpool-WP37001287-Dryer-Idler-Assembly.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS11741930"", ""category"": ""dishwasher"", ""url"": ""https://www.partselect.com/PS11741930-Whirlpool-WP37001287-Dryer-Idler-Assembly.htm?SourceCode=18""}",True
PS11771968,SILICONE LIGHT PIPE WD12X23316,"SILICONE LIGHT PIPE Specifications
                This premium dishwasher part from GE, of the highest quality, is a Silicone Light Pipe designed for optimum performance. This advanced component transmits light from the control board directly to the control display panel, ensuring smooth operation. Known for its durability, it is pivotal to achieving the best performance from your appliance. Though proficient DIY skills are advisable, installation is straightforward yet considerable care is advised. Be sure to disconnect your dishwasher from power supply before installation and use protective gloves for safety. Trust in the proven reliability of GE and enhance the longevity of your dishwasher today.",47.95,GE,dishwasher,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11771968-1-M-GE-WD12X23316-SILICONE-LIGHT-PIPE.jpg,https://www.partselect.com/PS11771968-GE-WD12X23316-SILICONE-LIGHT-PIPE.htm?SourceCode=18,,Please refer to the product manual or visit https://www.partselect.com/PS11771968-GE-WD12X23316-SILICONE-LIGHT-PIPE.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS11771968"", ""category"": ""dishwasher"", ""url"": ""https://www.partselect.com/PS11771968-GE-WD12X23316-SILICONE-LIGHT-PIPE.htm?SourceCode=18""}",True
PS12741990,WATER INLET 11030996,"WATER INLET Specifications
                Enhance the efficiency of your Bosch dishwasher with this genuine water inlet guide assembly. Ideal for directing fill water accurately into the dishwasher tub, this part assures optimal cleaning performance. As an authentic OEM part, it fits perfectly with certain models of Bosch, affirming its impeccable quality. Disconnection of the dishwasher or a switch off from the house circuit breaker is advised before installation. Always remember, work gloves can protect your hands during setup. Get this Bosch Water Inlet Guide Assembly to maintain the performance and longevity of your dishwasher.",42.97,Bosch,dishwasher,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/12741990-1-M-Bosch-11030996-WATER-INLET.jpg,https://www.partselect.com/PS12741990-Bosch-11030996-WATER-INLET.htm?SourceCode=18,,Please refer to the product manual or visit https://www.partselect.com/PS12741990-Bosch-11030996-WATER-INLET.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS12741990"", ""category"": ""dishwasher"", ""url"": ""https://www.partselect.com/PS12741990-Bosch-11030996-WATER-INLET.htm?SourceCode=18""}",True
PS11769017,Kickplate - Black W10871196,"Kickplate - Black Specifications
                New Black Single Metal Access Panel Replacement Kit. Replaces old two part toe kick plates. Reuse insulation off old panel or see Recommended Parts.",78.38,Whirlpool,dishwasher,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11769017-1-M-Whirlpool-W10871196-Kickplate-Black.jpg,https://www.partselect.com/PS11769017-Whirlpool-W10871196-Kickplate-Black.htm?SourceCode=18,WPW10586590;WPW10205336;WP8573286,Please refer to the product manual or visit https://www.partselect.com/PS11769017-Whirlpool-W10871196-Kickplate-Black.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS11769017"", ""category"": ""dishwasher"", ""url"": ""https://www.partselect.com/PS11769017-Whirlpool-W10871196-Kickplate-Black.htm?SourceCode=18""}",True
PS9496178,"DIODE-ZENER;MMSZ5230B,5% 0403-000499","This part works with the following products:
                Microwave, Microwave Oven Combo, Dishwasher, Wall Oven.",6.95,Samsung,dishwasher,,https://www.partselect.com/PS9496178-Samsung-0403-000499-DIODE-ZENER-MMSZ5230B-5.htm?SourceCode=18,,Please refer to the product manual or visit https://www.partselect.com/PS9496178-Samsung-0403-000499-DIODE-ZENER-MMSZ5230B-5.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS9496178"", ""category"": ""dishwasher"", ""url"": ""https://www.partselect.com/PS9496178-Samsung-0403-000499-DIODE-ZENER-MMSZ5230B-5.htm?SourceCode=18""}",True
PS9495545,Dishwasher Bottom Door Gasket 809006501,"Dishwasher Bottom Door Gasket Specifications
                This dishwasher door gasket (Bottom Gasket, Gasket, Door Seal, Dishwasher Door Lower Seal) helps prevent water from leaking out of the bottom edge of your dishwasher door by creating a watertight seal. This part is attached to the bottom of your dishwasher inner door panel. It is frequently exposed to water and detergent during its lifetime. The water and chemicals can eventually wear down the gasket and compromise the integrity of the seal. If the gasket is malfunctioning, the integrity of the door seal will be effected. You will notice leaking through the bottom of your dishwasher door. If your dishwasher is leaking water from the bottom of the door, first inspect the seal for food particles near the bottom and sides, and remove the buildup, as it can stop the door from closing properly and keeping a tight seal; if not, you may need to replace the bottom door gasket. Check the door gasket for tears, cuts, or wear. This part is sold individually and measures 22.5 inches by 1.25 inches. It is constructed of plastic, and comes in yellow/grey. Includes one lower door gasket.",37.95,Frigidaire,dishwasher,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/9495545-1-M-Frigidaire-809006501-Dishwasher-Bottom-Door-Gasket.jpg,https://www.partselect.com/PS9495545-Frigidaire-809006501-Dishwasher-Bottom-Door-Gasket.htm?SourceCode=18,AP5809675,Please refer to the product manual or visit https://www.partselect.com/PS9495545-Frigidaire-809006501-Dishwasher-Bottom-Door-Gasket.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS9495545"", ""category"": ""dishwasher"", ""url"": ""https://www.partselect.com/PS9495545-Frigidaire-809006501-Dishwasher-Bottom-Door-Gasket.htm?SourceCode=18""}",True
PS11755592,Dishwasher Lower Spray Arm WPW10491331,"Dishwasher Lower Spray Arm Specifications
                This is a lower spray arm for a dishwasher. The lower spray arm allows water to be spread evenly throughout the dishwasher tub with the proper force so dishes come out clean. This spray arm is gray in color and is about 20 inches long. You may need to replace this part if the water is not being distributed.",41.95,Whirlpool,dishwasher,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11755592-1-M-Whirlpool-WPW10491331-Dishwasher-Lower-Spray-Arm.jpg,https://www.partselect.com/PS11755592-Whirlpool-WPW10491331-Dishwasher-Lower-Spray-Arm.htm?SourceCode=18,WPW10342793;WP8579258;WP8579263;WPW10195598;WPW10376691;WPW10333330;WPW10491331;WPW10320512;AP6022259,Please refer to the product manual or visit https://www.partselect.com/PS11755592-Whirlpool-WPW10491331-Dishwasher-Lower-Spray-Arm.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS11755592"", ""category"": ""dishwasher"", ""url"": ""https://www.partselect.com/PS11755592-Whirlpool-WPW10491331-Dishwasher-Lower-Spray-Arm.htm?SourceCode=18""}",True
PS630651,TIMER 8057448,"This part works with the following products:
                Dishwasher.",139.54,Frigidaire,dishwasher,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/Schematics/Frigidaire/QQ76SDZE.gif,https://www.partselect.com/PS630651-Frigidaire-8057448-TIMER.htm?SourceCode=18,,Please refer to the product manual or visit https://www.partselect.com/PS630651-Frigidaire-8057448-TIMER.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS630651"", ""category"": ""dishwasher"", ""url"": ""https://www.partselect.com/PS630651-Frigidaire-8057448-TIMER.htm?SourceCode=18""}",True
PS259336,Dishwasher Hinge Arm Link WD14X10009,"Dishwasher Hinge Arm Link Specifications
                The hinge link on your dishwasher connects the spring to the dishwasher door hinge. If the hinge link becomes cracked or damaged, you may not be able to shut or lock your dishwasher door properly. In this case, you will need to replace the hinge link. Pull out your dishwasher to inspect the hinge and spring, if the link is broken, it may be disconnected and on the ground already. If not, you can remove the hinge arm link by simply disconnecting it from the hinge and spring, then replacing it with the new part. The hinge arm link is a small piece of white plastic about an inch and a half long. It is sold individually, and is an OEM part from the manufacturer.",13.95,GE,dishwasher,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/259336-1-M-GE-WD14X10009-Dishwasher-Hinge-Arm-Link.jpg,https://www.partselect.com/PS259336-GE-WD14X10009-Dishwasher-Hinge-Arm-Link.htm?SourceCode=18,AP2039321,Please refer to the product manual or visit https://www.partselect.com/PS259336-GE-WD14X10009-Dishwasher-Hinge-Arm-Link.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS259336"", ""category"": ""dishwasher"", ""url"": ""https://www.partselect.com/PS259336-GE-WD14X10009-Dishwasher-Hinge-Arm-Link.htm?SourceCode=18""}",True
PS3408382,NAMEPLATE 154818702,"This part works with the following products:
                Dishwasher.",18.95,Frigidaire,dishwasher,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/Schematics/Frigidaire/AQYL1JOH.gif,https://www.partselect.com/PS3408382-Frigidaire-154818702-NAMEPLATE.htm?SourceCode=18,,Please refer to the product manual or visit https://www.partselect.com/PS3408382-Frigidaire-154818702-NAMEPLATE.htm?SourceCode=18#Instructions for detailed installation instructions.,"{""part_number"": ""PS3408382"", ""category"": ""dishwasher"", ""url"": ""https://www.partselect.com/PS3408382-Frigidaire-154818702-NAMEPLATE.htm?SourceCode=18""}",True
