product,symptom,description,percentage,parts,symptom_detail_url,difficulty,repair_video_url
Refrigerator,Noisy,"When your fridge is noisy, find out how to repair it by troubleshooting the location of the noise, from the evaporator fan motor in the freezer to the bottom of the fridge with the condenser fan motor.","Reported By:   
                                 29","Condenser Fan Motor, Evaporator Fan Motor, Evaporator Fan Motor Grommet",https://www.partselect.com/Repair/Refrigerator/Noisy/,EASY,https://www.youtube.com/watch?v=nxHx8mhOnvY
Refrigerator,Leaking,"Diagnose the reason for your leaking fridge, from a faulty water inlet valve to a worn out door seal.","Reported By:   
                                 27","Door Gaskets Or Seals, Water Inlet Valve, Ice Maker Assembly",https://www.partselect.com/Repair/Refrigerator/Leaking/,EASY,https://www.youtube.com/watch?v=UFqbhptfnwA
Refrigerator,Will not start,"Find out how to fix a fridge that will not start, by examining a few key parts such as the temperature control or the compressor overload relay.","Reported By:   
                                 18","Overload Or Relay-Start Capacitor, Cold Control & Temperature Control, Electronic Control Board",https://www.partselect.com/Repair/Refrigerator/Will-Not-Start/,EASY,https://www.youtube.com/watch?v=dGdrBnsEZug
Refrigerator,Ice maker not making ice,"Learn how to fix your ice maker when it's not making ice and inspect the water fill tubes, water inlet valve and the icemaker.","Reported By:   
                                 6","Water Fill Tubes, Water Inlet Valve, Ice & Water Filter, Ice Maker Assembly & Replacement Ice Maker",https://www.partselect.com/Repair/Refrigerator/Not-Making-Ice/,EASY,https://www.youtube.com/watch?v=I6Sgbo-CB3s
Refrigerator,Fridge too warm,"If your fridge is, too warm then troubleshooting common parts like the air inlet damper.","Reported By:   
                                 6",Air Inlet Damper Or Baffle,https://www.partselect.com/Repair/Refrigerator/Refrigerator-Too-Warm/,REALLY EASY,https://www.youtube.com/watch?v=da9oya03Kvo
Refrigerator,Not dispensing water,If the water dispenser is not dispensing water then examine key parts such as the water inlet valve and dispenser actuator.,"Reported By:   
                                 3","Ice & Water Filter, Water Inlet Valve, Water Dispenser Actuator, Micro Switch, Dispenser Control Board",https://www.partselect.com/Repair/Refrigerator/Not-Dispensing-Water/,EASY,https://www.youtube.com/watch?v=Q8PMGWyvry4
Refrigerator,Fridge and Freezer are too warm,"Diagnose the causes of why the fridge and freezer are too warm by checking a few key parts such as the defrost timer, defrost heater, defrost thermostat or evaporator fan motor.","Reported By:   
                                 3","Cold Control Or Temperature Control, Evaporator Fan Motor, Electronic Control Board, Temperature Sensor Or Thermistor, Defrost Timer, Defrost Thermostat, Defrost Heater, Condenser Fan Motor",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Freezer-Too-Warm/,EASY,https://www.youtube.com/watch?v=da9oya03Kvo
Refrigerator,Door Sweating,"When the fridge has doors that are sweating then examine key components such as the door gasket, seals and the hinges.","Reported By:   
                                 1","Fresh Food & Freezer Door Gasket, Dispenser Door Assembly or Flapper & Ice Door Kit, Door Closure Cam Kit, Door Hinge & Bearing",https://www.partselect.com/Repair/Refrigerator/Door-Sweating/,EASY,https://www.youtube.com/watch?v=dGdrBnsEZug
Refrigerator,Light not working,Learn how to fix the fridge when the light won't turn on but the door is opened.,"Reported By:   
                                 1","Light Bulb Or Lamp, Light Sockets, Door Light Switch, Light Bulb & Ice Dispenser",https://www.partselect.com/Repair/Refrigerator/Light-Not-Working/,REALLY EASY,https://www.youtube.com/watch?v=dGdrBnsEZug
Refrigerator,Fridge too cold,Find out how to repair a fridge that's too cold by troubleshooting the common problem parts like a temperature control or thermistor.,"Reported By:   
                                 1","Air Inlet Damper Or Baffle, Temperature Sensor Or Thermistor, Main Control Board, Cold Control Or Temperature Control",https://www.partselect.com/Repair/Refrigerator/Refrigerator-Too-Cold/,REALLY EASY,https://www.youtube.com/watch?v=t67G2YUuyWs
Refrigerator,Fridge runs too long,Troubleshoot why the fridge is running too long by examining some of the key parts like a faulty defrost timer or the thermostats.,"Reported By:   
                                 1","Defrost Timer, Defrost Heater, Defrost Termination Thermostat, Fresh & Freezer Door Gaskets, Condenser Fan Motor, Evaporator Fan Motor, Sealed System",https://www.partselect.com/Repair/Refrigerator/Running-Too-Long/,EASY,https://www.youtube.com/watch?v=dGdrBnsEZug
Refrigerator,Freezer too cold,"Determine why your freezer is too cold by troubleshooting parts, like the air damper or thermistor.","Reported By:   
                                 1","Air Damper Or Freezer Control, Temperature Sensor Or Thermistor",https://www.partselect.com/Repair/Refrigerator/Freezer-Too-Cold/,REALLY EASY,https://www.youtube.com/watch?v=dGdrBnsEZug
